,Number,Date,UID,Desc,Group,Cat,text_prep,text_stem,text_sw,text_lemm
0,1060141,12.03.2021 11:33,7b5dc3bb-1dcb-4954-9f3c-c5dc9c7d45d2,Не горит лампа в коридоре,Управление домом,"Разбитые стекла, сорванные створки оконных переплетов, форточек, балконных дверных полотен",не горит лампа в коридоре,гор ламп коридор,горит лампа коридоре,"гореть лампа коридор 
"
1,1112683,2021-06-02 11:23:10.066,d900f8c0-30e9-4915-a80c-fcc7b5289501,Низкие параметры,Управление домом,Общие вопросы,низкие параметры,низк параметр,низкие параметры,"низкий параметр 
"
2,1112685,02.06.2021 12:52,d07b3297-ad61-4779-94b4-19ad82d2421f,Требуется установить пандус в подъезде.,Управление домом,Общие вопросы,требуется установить пандус в подъезде ,треб установ пандус подъезд,требуется установить пандус подъезде,"требоваться устанавливать пандус подъезд 
"
3,1112760,2021-06-08 15:43:20.000,7b5dc3bb-1dcb-4954-9f3c-c5dc9c7d45d2,nan,Управление домом,"Разбитые стекла, сорванные створки оконных переплетов, форточек, балконных дверных полотен",nan,nan,nan,"nan 
"
4,1112785,10.06.2021 20:00,b19c16ba-ef3b-4143-957e-6619d3c1af52,Отсутствует ХВС.,Управление домом,Общие вопросы,отсутствует хвс ,отсутств хвс,отсутствует хвс,"отсутствовать хвс 
"
5,1112855,2021-06-22 10:26:36.000,94dbd4db-1cb2-454d-aaad-75f0205d84ef,Отссутствует ГВС.,Управление домом,Общие вопросы,отссутствует гвс ,отссутств гвс,отссутствует гвс,"отссутствовать гвс 
"
6,1112856,2021-06-22 10:41:49.000,53fc973a-eb40-4434-84c9-95dcc5dc681c,Мусор под окнами с торца дома.,Управление домом,Общие вопросы,мусор под окнами с торца дома ,мусор окн торц дом,мусор окнами торца дома,"мусор окно торец дом 
"
7,1112857,22.06.2021 10:44,8c65d472-6c89-4969-a2bd-4860584bcb92,Слабый напор ХВС.,Управление домом,Общие вопросы,слабый напор хвс ,слаб напор хвс,слабый напор хвс,"слабый напор хвс 
"
8,1112858,22.06.2021 10:47,d159a788-7529-448f-a271-1c0fd250612d,Отсутствует ГВС.,Управление домом,Общие вопросы,отсутствует гвс ,отсутств гвс,отсутствует гвс,"отсутствовать гвс 
"
9,1112910,2021-06-30 08:45:25.053,04f16655-b23d-4a80-bbb8-f8ffb42957af,Отсутствует ХВС.,Управление домом,Общие вопросы,отсутствует хвс ,отсутств хвс,отсутствует хвс,"отсутствовать хвс 
"
